operadores	beneficio	tiempo
ChangeSwapAdd	63.0	299.0474
ChangeSwapAdd	58.3	146.2682
ChangeSwapAdd	51.4	134.9073
ChangeSwapAdd	48.9	110.7695
ChangeSwapAdd	72.1	114.1179
ChangeSwapAdd	40.7	101.8882
ChangeSwapAdd	50.1	86.7658
ChangeSwapAdd	59.8	83.7863
ChangeSwapAdd	64.2	96.948
ChangeSwapAdd	57.0	119.0169
ChangeSwapAdd	70.9	88.0792
ChangeSwapAdd	56.9	83.7543
ChangeSwapAdd	54.8	71.188
ChangeSwapAdd	46.8	77.3815
ChangeSwapAdd	64.5	78.7126
ChangeSwapAdd	55.0	75.6143
ChangeSwapAdd	66.2	91.7772
ChangeSwapAdd	55.4	121.1481
ChangeSwapAdd	92.3	87.6978
ChangeSwapAdd	59.400000000000006	76.9792
ChangeSwapAdd	43.2	74.1433
ChangeSwapAdd	52.1	84.9801
ChangeSwapAdd	71.0	76.0214
ChangeSwapAdd	50.2	81.5645
ChangeSwapAdd	60.7	79.4301
ChangeSwapAdd	51.5	102.5441
ChangeSwapAdd	68.9	74.5238
ChangeSwapAdd	59.7	76.2803
ChangeSwapAdd	59.5	79.7516
ChangeSwapAdd	84.8	74.595
ChangeSwapAdd	81.6	82.4307
ChangeSwapAdd	38.900000000000006	74.376
ChangeSwapAdd	49.7	78.0563
ChangeSwapAdd	52.2	79.8597
ChangeSwapAdd	42.3	83.4436
ChangeSwapAdd	49.0	72.1559
ChangeSwapAdd	60.7	72.7506
ChangeSwapAdd	41.2	106.9097
ChangeSwapAdd	73.5	83.0317
ChangeSwapAdd	68.5	78.7064
ChangeSwapAdd	67.3	81.3808
ChangeSwapAdd	62.7	75.1533
ChangeSwapAdd	66.9	74.2113
ChangeSwapAdd	63.099999999999994	78.6109
ChangeSwapAdd	59.5	78.5153
ChangeSwapAdd	67.5	75.47
ChangeSwapAdd	68.5	79.8578
ChangeSwapAdd	49.0	73.575
ChangeSwapAdd	49.1	87.5661
ChangeSwapAdd	69.5	75.4116
ChangeSwapAdd	47.6	78.3359
ChangeSwapAdd	42.1	97.4484
ChangeSwapAdd	44.099999999999994	73.7777
ChangeSwapAdd	51.3	68.4678
ChangeSwapAdd	83.0	74.4229
ChangeSwapAdd	52.0	67.0276
ChangeSwapAdd	50.4	76.3765
ChangeSwapAdd	75.3	83.9251
ChangeSwapAdd	44.4	82.1152
ChangeSwapAdd	69.9	84.9065
ChangeSwapAdd	47.300000000000004	82.8776
ChangeSwapAdd	50.1	72.17
ChangeSwapAdd	64.8	75.0663
ChangeSwapAdd	62.3	77.9959
ChangeSwapAdd	68.9	69.987
ChangeSwapAdd	74.60000000000001	74.6521
ChangeSwapAdd	45.2	83.5309
ChangeSwapAdd	48.8	69.237
ChangeSwapAdd	44.1	75.2428
ChangeSwapAdd	51.7	76.8131
ChangeSwapAdd	59.0	71.9568
ChangeSwapAdd	59.8	80.5295
ChangeSwapAdd	45.5	86.8032
ChangeSwapAdd	42.4	74.9689
ChangeSwapAdd	58.0	73.8748
ChangeSwapAdd	70.0	74.3788
ChangeSwapAdd	57.4	77.1856
ChangeSwapAdd	73.8	68.6215
ChangeSwapAdd	65.1	80.6156
ChangeSwapAdd	71.30000000000001	75.3385
ChangeSwapAdd	65.9	75.2787
ChangeSwapAdd	68.6	74.6531
ChangeSwapAdd	52.8	69.8584
ChangeSwapAdd	61.1	70.8161
ChangeSwapAdd	45.4	83.0563
ChangeSwapAdd	56.2	71.36
ChangeSwapAdd	35.900000000000006	76.5663
ChangeSwapAdd	77.1	80.3688
ChangeSwapAdd	67.9	79.0342
ChangeSwapAdd	70.2	69.5704
ChangeSwapAdd	60.599999999999994	79.2878
ChangeSwapAdd	48.9	74.9127
ChangeSwapAdd	43.400000000000006	72.983
ChangeSwapAdd	63.599999999999994	76.6828
ChangeSwapAdd	62.5	74.2134
ChangeSwapAdd	50.6	74.2216
ChangeSwapAdd	58.5	76.2038
ChangeSwapAdd	76.8	70.8605
ChangeSwapAdd	68.3	67.7042
ChangeSwapAdd	56.5	80.3987
ChangeSwapAdd	53.1	74.3053
ChangeSwapAdd	65.0	73.6065
ChangeSwapAdd	61.6	84.3461
ChangeSwapAdd	61.0	70.8056
ChangeSwapAdd	50.2	78.3086
ChangeSwapAdd	42.3	86.3254
ChangeSwapAdd	53.6	80.3325
ChangeSwapAdd	75.8	73.2649
ChangeSwapAdd	70.19999999999999	77.0904
ChangeSwapAdd	52.4	73.4738
ChangeSwapAdd	70.8	77.3456
ChangeSwapAdd	61.3	76.6912
ChangeSwapAdd	66.2	74.5324
ChangeSwapAdd	54.3	78.7961
ChangeSwapAdd	62.9	82.0033
ChangeSwapAdd	59.4	69.7974
ChangeSwapAdd	69.4	74.9481
ChangeSwapAdd	79.1	83.1341
ChangeSwapAdd	73.2	70.4812
ChangeSwapAdd	56.4	76.7443
ChangeSwapAdd	60.8	78.4483
ChangeSwapAdd	63.8	73.457
ChangeSwapAdd	64.6	71.9832
ChangeSwapAdd	46.1	87.4361
ChangeSwapAdd	59.5	82.6684
ChangeSwapAdd	66.7	77.5598
ChangeSwapAdd	62.0	80.0353
ChangeSwapAdd	44.7	74.4305
ChangeSwapAdd	59.7	75.529
ChangeSwapAdd	57.7	72.4881
ChangeSwapAdd	65.1	72.9757
ChangeSwapAdd	56.1	76.3626
ChangeSwapAdd	50.2	70.4043
ChangeSwapAdd	54.0	70.5777
ChangeSwapAdd	81.3	68.8958
ChangeSwapAdd	43.0	77.6133
ChangeSwapAdd	66.8	77.4748
ChangeSwapAdd	74.4	82.302
ChangeSwapAdd	64.1	79.6941
ChangeSwapAdd	48.800000000000004	78.1066
ChangeSwapAdd	69.2	75.2296
ChangeSwapAdd	56.199999999999996	83.5221
ChangeSwapAdd	52.6	73.4159
ChangeSwapAdd	62.5	73.9009
ChangeSwapAdd	51.3	80.7196
ChangeSwapAdd	41.1	76.0233
ChangeSwapAdd	50.6	84.5788
ChangeSwapAdd	70.3	72.4523
ChangeSwapAdd	86.9	76.0132
ChangeSwapAdd	66.0	80.3594
ChangeSwapAdd	80.5	89.1176
ChangeSwapAdd	63.8	73.0009
ChangeSwapAdd	59.6	78.9381
ChangeSwapAdd	54.3	78.4557
ChangeSwapAdd	65.5	77.6699
ChangeSwapAdd	62.2	76.3146
ChangeSwapAdd	49.0	78.0791
ChangeSwapAdd	77.0	71.0073
ChangeSwapAdd	59.0	82.3875
ChangeSwapAdd	65.1	75.8809
ChangeSwapAdd	48.3	74.4774
ChangeSwapAdd	61.2	87.3879
ChangeSwapAdd	55.400000000000006	75.9012
ChangeSwapAdd	52.3	79.018
ChangeSwapAdd	61.1	86.4455
ChangeSwapAdd	59.9	77.1535
ChangeSwapAdd	65.2	78.3792
ChangeSwapAdd	93.3	79.747
ChangeSwapAdd	77.2	107.7315
ChangeSwapAdd	73.5	78.0922
ChangeSwapAdd	60.8	83.1616
ChangeSwapAdd	70.1	72.3245
ChangeSwapAdd	53.7	75.2638
ChangeSwapAdd	67.1	71.9706
ChangeSwapAdd	33.5	74.363
ChangeSwapAdd	68.1	75.5924
ChangeSwapAdd	52.9	78.4661
ChangeSwapAdd	66.1	74.3726
ChangeSwapAdd	53.2	71.9924
ChangeSwapAdd	36.6	84.7344
ChangeSwapAdd	56.9	74.0611
ChangeSwapAdd	51.2	77.1115
ChangeSwapAdd	52.9	77.7059
ChangeSwapAdd	44.3	71.5642
ChangeSwapAdd	53.9	78.629
ChangeSwapAdd	76.9	86.0801
ChangeSwapAdd	56.0	75.1036
ChangeSwapAdd	54.5	70.7073
ChangeSwapAdd	54.2	88.5343
