sol_ini	beneficio	tiempo
Vacia	78.0	174.5262
Vacia	80.0	73.7826
Vacia	86.0	47.5877
Vacia	66.0	52.2243
Vacia	101.0	42.8829
Vacia	53.0	34.3117
Vacia	75.0	43.1181
Vacia	78.0	36.7642
Vacia	73.0	66.0201
Vacia	74.0	57.5268
Vacia	97.0	46.2914
Vacia	82.0	39.5725
Vacia	67.0	33.7269
Vacia	79.0	34.1361
Vacia	90.0	37.6484
Vacia	90.0	33.9003
Vacia	105.0	31.391
Vacia	86.0	33.4349
Vacia	110.0	38.3918
Vacia	97.0	32.0773
Vacia	74.0	34.4495
Vacia	77.0	35.5571
Vacia	103.0	32.4619
Vacia	78.0	33.0621
Vacia	85.0	34.6096
Vacia	89.0	47.23
Vacia	83.0	58.3898
Vacia	80.0	39.2359
Vacia	80.0	30.7526
Vacia	114.0	30.6152
Vacia	108.0	40.6063
Vacia	60.0	32.1951
Vacia	72.0	30.1124
Vacia	66.0	31.3896
Vacia	73.0	35.4951
Vacia	75.0	31.8728
Vacia	76.0	30.5299
Vacia	61.0	31.5208
Vacia	96.0	31.1726
Vacia	94.0	31.9275
Vacia	95.0	31.0756
Vacia	80.0	31.0348
Vacia	90.0	30.8265
Vacia	83.0	34.6377
Vacia	76.0	32.8908
Vacia	96.0	30.3614
Vacia	93.0	31.5976
Vacia	68.0	31.2132
Vacia	72.0	34.234
Vacia	91.0	30.9852
Vacia	67.0	31.5435
Vacia	55.0	30.9421
Vacia	79.0	30.4759
Vacia	90.0	35.0136
Vacia	107.0	32.2673
Vacia	84.0	30.5655
Vacia	68.0	30.8303
Vacia	108.0	40.8482
Vacia	59.0	30.8156
Vacia	97.0	31.3218
Vacia	90.0	30.0521
Vacia	79.0	30.8909
Vacia	88.0	47.8797
Vacia	89.0	49.5571
Vacia	87.0	36.6109
Vacia	103.0	32.4207
Vacia	58.0	31.2852
Vacia	73.0	30.851
Vacia	67.0	42.2663
Vacia	69.0	31.6047
Vacia	77.0	30.8008
Vacia	82.0	31.5178
Vacia	58.0	30.2804
Vacia	77.0	32.8411
Vacia	80.0	30.2056
Vacia	104.0	32.0788
Vacia	87.0	31.6786
Vacia	94.0	30.8445
Vacia	90.0	31.2618
Vacia	103.0	39.801
Vacia	89.0	29.8313
Vacia	100.0	30.26
Vacia	88.0	29.9819
Vacia	75.0	31.1118
Vacia	80.0	30.5002
Vacia	89.0	32.8095
Vacia	66.0	33.2106
Vacia	105.0	32.5349
Vacia	83.0	32.6472
Vacia	94.0	30.3347
Vacia	81.0	30.5777
Vacia	66.0	34.7097
Vacia	73.0	30.4881
Vacia	85.0	30.5239
Vacia	95.0	30.0832
Vacia	66.0	31.0317
Vacia	95.0	31.4241
Vacia	109.0	37.9508
Vacia	98.0	31.0707
Vacia	97.0	29.3314
Vacia	65.0	29.8468
Vacia	116.0	29.7183
Vacia	74.0	42.1871
Vacia	84.0	37.3171
Vacia	72.0	34.0159
Vacia	70.0	30.6673
Vacia	64.0	33.3538
Vacia	96.0	29.9841
Vacia	103.0	40.2857
Vacia	90.0	48.9816
Vacia	90.0	49.0216
Vacia	91.0	33.5921
Vacia	80.0	33.6497
Vacia	78.0	29.8477
Vacia	94.0	30.0514
Vacia	77.0	29.8497
Vacia	88.0	37.7222
Vacia	104.0	30.6561
Vacia	96.0	29.4182
Vacia	74.0	31.6819
Vacia	84.0	33.2108
Vacia	96.0	32.7146
Vacia	96.0	32.0649
Vacia	59.0	36.6554
Vacia	82.0	31.6968
Vacia	92.0	31.1263
Vacia	83.0	30.5662
Vacia	72.0	32.0791
Vacia	87.0	31.7455
Vacia	78.0	30.6824
Vacia	96.0	31.8809
Vacia	75.0	30.4312
Vacia	80.0	31.4411
Vacia	76.0	30.1649
Vacia	112.0	31.0705
Vacia	81.0	33.2837
Vacia	94.0	30.566
Vacia	95.0	30.3159
Vacia	87.0	34.3601
Vacia	78.0	36.8469
Vacia	97.0	30.9599
Vacia	85.0	30.055
Vacia	64.0	30.3369
Vacia	94.0	30.9332
Vacia	68.0	30.3211
Vacia	66.0	31.9577
Vacia	72.0	30.1113
Vacia	92.0	30.3362
Vacia	104.0	29.7135
Vacia	94.0	29.879
Vacia	99.0	32.5168
Vacia	90.0	31.3505
Vacia	95.0	34.0756
Vacia	78.0	30.1259
Vacia	97.0	30.4395
Vacia	86.0	30.0139
Vacia	70.0	30.3777
Vacia	120.0	36.1598
Vacia	77.0	31.5059
Vacia	87.0	32.8701
Vacia	98.0	30.1265
Vacia	83.0	29.9447
Vacia	89.0	29.9885
Vacia	69.0	30.9458
Vacia	84.0	30.4414
Vacia	86.0	30.8093
Vacia	98.0	30.4794
Vacia	122.0	35.6689
Vacia	101.0	31.1344
Vacia	92.0	31.3009
Vacia	90.0	30.0111
Vacia	97.0	29.8452
Vacia	67.0	30.5201
Vacia	109.0	32.1184
Vacia	67.0	31.5781
Vacia	90.0	31.3649
Vacia	70.0	30.6271
Vacia	93.0	30.3627
Vacia	78.0	30.4884
Vacia	55.0	31.9177
Vacia	74.0	29.8451
Vacia	69.0	34.712
Vacia	80.0	30.6022
Vacia	66.0	29.9533
Vacia	62.0	31.2608
Vacia	106.0	30.4429
Vacia	76.0	30.546
Vacia	85.0	32.0023
Vacia	82.0	35.8966
Vacia	87.0	30.767
Vacia	53.0	29.9521
Vacia	87.0	30.646
Vacia	78.0	30.4709
Vacia	105.0	30.2955
Vacia	84.0	35.4206
Vacia	91.0	33.5261
Vacia	61.0	33.7879
Vacia	66.0	29.9118
Vacia	90.0	29.8916
Vacia	115.0	29.5116
Vacia	71.0	30.7473
Vacia	73.0	30.7698
Vacia	84.0	29.9761
Vacia	101.0	31.5045
Vacia	73.0	32.5391
Vacia	118.0	29.9383
Vacia	97.0	30.5041
Vacia	88.0	31.359
Vacia	83.0	30.5767
Vacia	81.0	31.3423
Vacia	78.0	37.0785
Vacia	78.0	31.9171
Vacia	97.0	30.2207
Vacia	112.0	30.0934
Vacia	89.0	30.319
Vacia	79.0	30.4892
Vacia	91.0	30.3932
Vacia	94.0	35.5171
Vacia	71.0	30.0806
Vacia	79.0	32.8877
Vacia	76.0	31.8029
Vacia	84.0	31.5376
Vacia	67.0	30.6714
Vacia	87.0	30.5
Vacia	82.0	30.6944
Vacia	86.0	32.8839
Vacia	89.0	30.8681
Vacia	103.0	33.118
Vacia	68.0	31.0766
Vacia	83.0	30.6615
Vacia	79.0	30.4381
Vacia	59.0	31.3038
Vacia	72.0	38.1041
Vacia	52.0	31.5039
Vacia	80.0	30.9999
Vacia	84.0	30.9655
Vacia	90.0	30.3995
Vacia	87.0	29.8964
Vacia	75.0	30.7012
Vacia	72.0	34.257
Vacia	92.0	30.4596
Vacia	80.0	30.6553
Vacia	80.0	33.9179
Vacia	87.0	30.5439
Vacia	92.0	30.7717
Vacia	62.0	30.9397
Vacia	100.0	35.6339
Vacia	92.0	30.7863
Vacia	78.0	30.9976
Vacia	93.0	31.2027
Vacia	106.0	29.5773
Vacia	97.0	35.2335
Vacia	87.0	30.6757
Vacia	85.0	30.1246
Vacia	85.0	35.9404
Vacia	86.0	30.488
Vacia	117.0	30.6419
Vacia	90.0	30.7255
Vacia	97.0	33.1785
Vacia	83.0	31.187
Vacia	86.0	30.4241
Vacia	91.0	37.2646
Vacia	82.0	31.1906
Vacia	75.0	30.6533
Vacia	104.0	32.3709
Vacia	76.0	30.8364
Vacia	80.0	33.0766
Vacia	74.0	30.3613
Vacia	71.0	32.8065
Vacia	82.0	31.0638
Vacia	87.0	31.1492
Vacia	105.0	30.1617
Vacia	79.0	31.4868
Vacia	101.0	30.9907
Vacia	68.0	30.9114
Vacia	78.0	30.5195
Vacia	79.0	33.7626
Vacia	71.0	31.241
Vacia	90.0	32.5932
Vacia	79.0	35.1516
Vacia	77.0	33.6418
Vacia	84.0	33.9818
Vacia	92.0	32.0927
Vacia	92.0	36.5227
Vacia	86.0	29.9694
Vacia	80.0	31.6115
Vacia	86.0	31.0682
Vacia	97.0	36.9255
Vacia	60.0	34.4812
Vacia	49.0	34.6991
Vacia	85.0	36.5825
Vacia	88.0	30.7103
Vacia	104.0	29.9936
Vacia	77.0	30.683
Vacia	88.0	31.4695
Vacia	66.0	30.6934
Vacia	68.0	30.5512
Vacia	112.0	32.5563
Vacia	70.0	30.7491
Vacia	81.0	30.1577
Vacia	66.0	29.7181
Vacia	66.0	30.8194
Vacia	79.0	32.9046
Vacia	81.0	29.9795
Vacia	90.0	30.8314
Vacia	97.0	33.2136
Vacia	74.0	30.1518
Vacia	86.0	30.4056
Vacia	71.0	30.4009
Vacia	91.0	30.6505
Vacia	95.0	33.3882
Vacia	91.0	30.3389
Vacia	72.0	34.4799
Vacia	76.0	32.6456
Vacia	69.0	32.2198
Vacia	93.0	30.6383
Vacia	83.0	29.7986
Vacia	75.0	30.4768
Vacia	56.0	31.0085
Vacia	78.0	38.804
Vacia	89.0	30.9268
Vacia	96.0	30.647
Vacia	78.0	30.0355
Vacia	85.0	30.1065
Vacia	87.0	30.4602
Vacia	60.0	30.6597
Vacia	104.0	30.2468
Vacia	73.0	36.5232
Vacia	104.0	31.2902
Vacia	72.0	30.8681
Vacia	63.0	30.7142
Vacia	105.0	30.4155
Vacia	93.0	32.5551
Vacia	78.0	30.3362
Vacia	80.0	33.8296
Vacia	102.0	30.1599
Vacia	86.0	30.4027
Vacia	89.0	30.688
Vacia	77.0	31.0236
Vacia	67.0	30.9469
Vacia	95.0	33.7831
Vacia	85.0	37.1789
Vacia	83.0	31.1295
Vacia	97.0	30.3047
Vacia	90.0	30.5146
Vacia	81.0	31.6189
Vacia	76.0	31.8546
Vacia	96.0	32.9246
Vacia	68.0	34.8134
Vacia	82.0	31.1057
Vacia	77.0	31.417
Vacia	60.0	31.6216
Vacia	87.0	31.0665
Vacia	79.0	30.0668
Vacia	75.0	30.2667
Vacia	80.0	37.8734
Vacia	79.0	30.4832
Vacia	90.0	31.0631
Vacia	98.0	30.7604
Vacia	96.0	30.6507
Vacia	93.0	31.2414
Vacia	80.0	30.745
Vacia	79.0	33.3874
Vacia	82.0	37.5397
Vacia	89.0	30.4582
Vacia	91.0	30.3312
Vacia	66.0	30.5393
Vacia	87.0	30.5852
Vacia	85.0	30.165
Vacia	95.0	29.7831
Vacia	101.0	34.1814
Vacia	100.0	30.8626
Vacia	98.0	30.6456
Vacia	62.0	30.2176
Vacia	110.0	31.1252
Vacia	104.0	30.3891
Vacia	76.0	30.179
Vacia	100.0	40.1947
Vacia	87.0	30.7026
Vacia	92.0	30.4805
Vacia	75.0	30.7719
Vacia	86.0	30.3311
Vacia	84.0	30.2186
Vacia	83.0	30.1615
Vacia	91.0	34.9285
Vacia	61.0	31.0943
Vacia	70.0	30.0741
Vacia	81.0	30.1681
Vacia	67.0	30.2116
Vacia	69.0	30.6678
Vacia	69.0	30.8575
Vacia	79.0	29.848
Vacia	81.0	44.4164
Vacia	106.0	30.1961
Vacia	79.0	30.9774
Vacia	106.0	30.0537
Vacia	76.0	30.6435
Vacia	96.0	29.9222
Vacia	89.0	30.2647
Vacia	90.0	31.9003
Vacia	79.0	32.6407
Vacia	74.0	30.0134
Vacia	78.0	30.1746
Vacia	89.0	31.0402
Vacia	63.0	30.2964
Vacia	81.0	30.9556
Vacia	43.0	31.8753
Vacia	70.0	29.7614
Vacia	84.0	31.9889
Vacia	120.0	31.0182
Vacia	72.0	31.4342
Vacia	62.0	31.9151
Vacia	77.0	32.2766
Vacia	104.0	32.2701
Vacia	72.0	33.0545
Vacia	64.0	30.9369
Vacia	95.0	31.7501
Vacia	53.0	32.0145
Vacia	93.0	31.4151
Vacia	86.0	30.4735
Vacia	80.0	30.0081
Vacia	65.0	36.2205
Vacia	95.0	31.1947
Vacia	57.0	31.8311
Vacia	89.0	30.5187
Vacia	93.0	32.0719
Vacia	100.0	30.7334
Vacia	82.0	30.392
Vacia	97.0	34.1242
Vacia	111.0	30.1525
Vacia	99.0	29.8524
Vacia	99.0	30.7489
Vacia	76.0	30.2051
Vacia	101.0	30.2086
Vacia	61.0	31.7238
Vacia	101.0	34.0347
Vacia	96.0	32.7363
Vacia	113.0	32.2833
Vacia	57.0	34.4608
Vacia	77.0	32.0782
Vacia	95.0	30.6133
Vacia	113.0	31.23
Vacia	85.0	30.1869
Vacia	67.0	34.5599
Vacia	88.0	30.8312
Vacia	98.0	32.4888
Vacia	88.0	33.8839
Vacia	81.0	30.1992
Vacia	83.0	30.2895
Vacia	74.0	30.7572
Vacia	100.0	33.6212
Vacia	91.0	32.5033
Vacia	65.0	31.0168
Vacia	95.0	31.0153
Vacia	91.0	34.1089
Vacia	83.0	31.6133
Vacia	51.0	30.0575
Vacia	78.0	34.4158
Vacia	74.0	30.5265
Vacia	102.0	29.8721
Vacia	78.0	32.447
Vacia	87.0	30.3436
Vacia	106.0	30.6973
Vacia	75.0	30.7072
Vacia	118.0	31.8398
Vacia	55.0	32.3551
Vacia	104.0	30.1671
Vacia	66.0	30.9141
Vacia	46.0	30.3441
Vacia	59.0	32.0627
Vacia	81.0	30.1958
Vacia	89.0	30.2967
Vacia	52.0	37.3426
Vacia	104.0	31.34
Vacia	69.0	30.9579
Vacia	99.0	30.4042
Vacia	66.0	31.5643
Vacia	84.0	32.8876
Vacia	88.0	30.978
Vacia	96.0	35.1517
Vacia	88.0	30.8162
Vacia	68.0	31.2985
Vacia	75.0	30.3781
Vacia	83.0	30.0045
Vacia	103.0	29.9739
Vacia	65.0	30.6606
Vacia	64.0	38.0035
Vacia	93.0	30.523
Vacia	85.0	30.8238
Vacia	90.0	31.177
Vacia	54.0	30.8314
Vacia	55.0	30.5206
Vacia	119.0	30.0069
Vacia	92.0	32.1669
Vacia	92.0	32.7852
Vacia	95.0	30.7051
Vacia	102.0	30.1593
Vacia	70.0	31.1133
Vacia	91.0	30.8914
Vacia	47.0	31.4906
Vacia	81.0	30.6311
Vacia	77.0	32.8811
Vacia	99.0	30.7863
Vacia	85.0	32.8499
Vacia	70.0	32.6155
Vacia	61.0	30.5253
Vacia	92.0	30.7614
Vacia	66.0	30.9573
Vacia	84.0	33.2259
Vacia	84.0	30.6892
